Country,Yield Int 2040,Food Self Sufficiency in 2040,Change in Food Self Sufficiency in 2040,Code,ISO,Legend - Change in Self-Sufficiency,Legend - Self-Sufficiency,Legend - Yield Intensity,yield int category
Trinidad and Tobago,0.641,0.338005923,0.002802828,29.63,TTO,Between -0.01 and 0.01,Between 0.25 and 0.5,Between 0.6 and 0.7,5
Tunisia,0.57,0.563497268,0.038564581,49.12,TUN,Greater than 0.03,Between 0.5 and 0.75,Between 0.5 and 0.6,4
Turkey,0.527,0.828064516,0.002795147,813.3,TUR,Between -0.01 and 0.01,Between 0.75 and 0.95,Between 0.5 and 0.6,4
Turkmenistan,0.458,0.610587189,-0.002881121,43.5,TKM,Between -0.01 and 0.01,Between 0.5 and 0.75,Between 0.4 and 0.5,3
Uganda,0.405,0.512565371,-0.01676182,26.09,UGA,Between -0.03 and -0.01,Between 0.5 and 0.75,Between 0.4 and 0.5,3
Ukraine,0.554,2.22475161,-0.003442078,134.9,UKR,Between -0.01 and 0.01,Greater than 1.75,Between 0.5 and 0.6,4
United Arab Emirates,0.701,0.083070301,0.004443812,416.4,ARE,Between -0.01 and 0.01,Less than 0.25,Between 0.7 and 0.8,6
United Kingdom,0.929,0.643285985,-0.000395748,2848,GBR,Between -0.01 and 0.01,Between 0.5 and 0.75,Greater than 0.8,7
United States of America,0.817,1.000378863,0.0010668,17420,USA,Between -0.01 and 0.01,Between 0.95 and 1.05,Greater than 0.8,7
Uruguay,0.81,2.073248975,0.043807003,55.6,URY,Greater than 0.03,Greater than 1.75,Greater than 0.8,7
Uzbekistan,0.614,0.89532102,-0.003819933,63.08,UZB,Between -0.01 and 0.01,Between 0.75 and 0.95,Between 0.6 and 0.7,5
Vanuatu,0.686,0.677871148,-0.011355371,0.82,VUT,Between -0.03 and -0.01,Between 0.5 and 0.75,Between 0.6 and 0.7,5
Venezuela,0.66,0.489730373,-0.008111617,209.2,VEN,Between -0.01 and 0.01,Between 0.25 and 0.5,Between 0.6 and 0.7,5
Viet Nam,0.876,1.005230567,0.001072151,187.8,VNM,Between -0.01 and 0.01,Between 0.95 and 1.05,Greater than 0.8,7
Yemen,0.363,0.206485356,-0.003924116,45.45,YEM,Between -0.01 and 0.01,Less than 0.25,Between 0.3 and 0.4,2
Zambia,0.356,0.727832783,-0.029915225,25.61,ZMB,Between -0.03 and -0.01,Between 0.5 and 0.75,Between 0.3 and 0.4,2
Zimbabwe,0.232,0.455702765,-0.004331443,13.74,ZWE,Between -0.01 and 0.01,Between 0.25 and 0.5,Less than 0.3,1
